InchiKey,smiles,logD,fold
CEDPCXUZXQKZKH-UHFFFAOYSA-N,Cn1cc(Nc2nccc(N3C[C@H]4CC[C@H](C3)N4C(=O)NCC(F)(F)F)n2)cn1,1.72,1
CEDQYWYBSMPQAF-UHFFFAOYSA-N,CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](CO)c4ccc(F)cn4)nc32)n[nH]1,2.79,1
CEFKRUHXJVFJLI-UHFFFAOYSA-N,NC1=NC(c2ccco2)Nc2c(F)ccc(F)c21,1.2,2
CEHKCCIAAOPSSX-UHFFFAOYSA-N,COc1ccc(C(=O)O[C@@H](Cc2c(Cl)c[n+]([O-])cc2Cl)c2ccc(OC(F)F)c(OCC3CC3)c2)cc1OC,4.29,2
CEMAWMOMDPGJMB-UHFFFAOYSA-N,C=CCOc1ccccc1OCC(O)CNC(C)C,0.2,5
CEQUQTKEVIQAMX-UHFFFAOYSA-N,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OC,3.3,6
CETLUXCQLCEHTG-UHFFFAOYSA-N,Cc1nc2cnc(Nc3ccnc(N4CCC(O)CC4)n3)cc2n1C(C)C,1.8,3
CETOWTIWZXCWLA-UHFFFAOYSA-N,CNCC(=O)N[C@H](c1cc(Cl)ccc1N1CCN(C(=O)[C@H](C)Cc2ccc(Cl)cc2OC)CC1)C(C)C,3.5,4
CEUPOOINALBZRR-UHFFFAOYSA-N,C[C@@H](Nc1c(C(N)=O)cnc2ccc(C#N)cc12)c1ccc(Cl)cc1,3.5,10
CEZNSWIMSSFNJX-UHFFFAOYSA-N,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4cc(F)c(-c5ccc(CS(C)(=O)=O)nc5)cc4c32)C1,1.3,3
CEZZBCMZOCJIEY-UHFFFAOYSA-N,O=C1NC(=O)C(Cc2cccc(Oc3ccccc3)c2)S1,2.84,5
CEZZNFSQMLQKBB-UHFFFAOYSA-N,C#Cc1cc2cc(C(=O)N3CCc4cc(CN(C)C)ccc4C3)n(C)c2cn1,1.2,10
CFBUZOUXXHZCFB-UHFFFAOYSA-N,COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1,0.76,2
CFBXWHPXNROFFK-UHFFFAOYSA-N,COc1ccc(-c2nc3c(NCCCNC(C)=O)c(Br)cnc3[nH]2)cc1,3.28,8
CFCHIEDCTWPVCJ-UHFFFAOYSA-N,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(Cc2cccnc2)C2CCCC(N3CCC(O)C3)C21,1.26,5
CFELMOUQZGRYTG-UHFFFAOYSA-N,Cc1cn([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3F)C2)c(=O)[nH]c1=O,-0.59,6
CFHJUJFEDYKNBD-UHFFFAOYSA-N,CC(C)Nc1nccc(-c2c(C3CC3)nc3cc(CN(C)C)ccn23)n1,3,8
CFIGXKPRHYPCGF-UHFFFAOYSA-N,COc1cc2c(cc1F)ncc(=O)n2C[C@H](N)[C@H]1CC[C@H](NCc2ncc3c(n2)NC(=O)CO3)CC1,-0.42,7
CFIKEPHTXCZYMW-UHFFFAOYSA-N,CCOC(=O)c1coc2ccccc2c1=O,1.81,5
CFJFLGFKZVSNPA-UHFFFAOYSA-N,Cn1cc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,3.67,1
CFJMRBQWBDQYMK-UHFFFAOYSA-N,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,1.33,2
CFKIDVSIVXEAHH-UHFFFAOYSA-N,CC(Nc1cccc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,2.5,2
CFMZDEQEVCDMRN-UHFFFAOYSA-N,Fc1ccc2cn[nH]c2c1,2.3,6
CFNSOLJHFSOKTJ-UHFFFAOYSA-N,Cc1cn(C)nc1[C@H](C)Nc1c(C(N)=O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12,2.1,4
CFOQGBUQTOGYKI-UHFFFAOYSA-N,N=C(N)Nc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,0.5,7
CFQAZHZKWMMXOV-UHFFFAOYSA-N,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O,2.64,3
CFUKCNIRQBDDDD-UHFFFAOYSA-N,O=C(N[C@@H](Cc1ccc(CCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl,0.51,1
CGBJSGAELGCMKE-UHFFFAOYSA-N,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,2.5,5
CGBOMWRTAFBZSY-UHFFFAOYSA-N,Cc1nn(C)cc1NC(=O)[C@@H]1CCCC[C@H]1C(=O)c1ccc(-c2cc[nH]n2)nc1,1.8,2
CGCKKFFDYBVAMW-UHFFFAOYSA-N,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2ccc3[nH]ccc3c2)n1,2.06,6
CGCUYGIDAMWFOE-UHFFFAOYSA-N,COc1cc2c(Nc3ccc(F)cc3F)c(C(N)=O)cnc2cc1NCCN(C)C,1.71,6
CGDZTEHAPAOWKF-UHFFFAOYSA-N,COC1(CCN)CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)CC1,0.1,8
CGENYLOMMXXQMS-UHFFFAOYSA-N,CN(C)C1(CCCc2ccc(C(C)(C)C)cc2)COC1,3.3,6
CGIGDMFJXJATDK-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1.1,4
CGJHNQUGOCNJEA-UHFFFAOYSA-N,CN(C)[C@H]1CC[C@H](Nc2ncnc3cscc23)CC1,0.3,2
CGPUMTTUBWGRHT-UHFFFAOYSA-N,Cc1cccc(C[C@@H](C(=O)O)N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,2.84,2
CGUUQUFVJVXBEZ-UHFFFAOYSA-N,N#Cc1ccc(-c2cc(NC(N)=O)c(C(=O)N[C@H]3CCCNC3)s2)cc1,0.61,7
CGWXLIIVSXHAOP-UHFFFAOYSA-N,Clc1ccc(-c2c[nH]nn2)cc1,2.97,10
CHDHWRIOEXFMNA-UHFFFAOYSA-N,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,3,2
CHFSOFHQIZKQCR-UHFFFAOYSA-N,O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(O)c(O)nc12,0.21,4
CHIYLSFVNLCDBQ-UHFFFAOYSA-N,COc1ccccc1-c1cc(=O)[nH]c(=S)[nH]1,1.3,9
CHMQZXMNJGFHBB-UHFFFAOYSA-N,COC(=O)CC[C@H](NC(=O)c1ccc2c(c1)/C(=C/c1[nH]c(C)c(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c1C)C(=O)N2)C(=O)OC,-0.74,6
CHTNLBXSBITESO-UHFFFAOYSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCCc2ccccc2)C1)C1CCCCC1,2.6,3
CHTWGYQDULVTTE-UHFFFAOYSA-N,CN(C)[C@H]1CC[C@H](Nc2ncnc3[nH]cc(C4CCCOC4)c23)CC1,0.3,7
CHUOPMMSYZADNG-UHFFFAOYSA-N,CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)c(F)cc1C1CC1,2.8,5
CIGFXIOOVYMTSM-UHFFFAOYSA-N,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ccc(C(F)F)nc32)CC1,4.6,4
CILLLUONWCSDCK-UHFFFAOYSA-N,CCCCCCCCCCCCC[C@H](O)C[C@H](O)[C@H](C)N,3.5,3
CIOBWNSCGKJAQU-UHFFFAOYSA-N,c1ccc2c(c1)CCN(c1ccncc1)C2,1.4,10
CIOWDFAFTWBSLR-UHFFFAOYSA-N,Cc1nn(C)c(Oc2ccc(Cl)cc2Cl)c1C(=O)N1CCCCC1c1cccnc1,3.3,5
CISUHHMWKWDMFJ-UHFFFAOYSA-N,Cc1nccc(-c2ccc(-c3nc4ccncc4c(O)c3C#N)cc2)c1Cl,2,9
CIVZHVZUMZYFJP-UHFFFAOYSA-N,O=c1ccc(=O)c2ccccc2[nH]1,1.02,6
CJGRNSIXWOGIIC-UHFFFAOYSA-N,CC1(c2ccccc2)CC(=O)NC(N)=N1,0.62,2
CJHPFFSSMGEXHF-UHFFFAOYSA-N,O=C(NCCc1ccccn1)[C@@H]1CCCC[C@H]1C(=O)c1ccc(-c2cc[nH]n2)cc1,3,10
CJLUXPZQUXVJNF-UHFFFAOYSA-N,Nc1nc2ccc(F)cc2s1,2.2,1
CJOFXWAVKWHTFT-UHFFFAOYSA-N,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,1.55,1
CJSVDBKFCGGXRJ-UHFFFAOYSA-N,COC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnn4ccc([C@H](C)CC(N)=O)c34)CC2)CC1,1.9,10
CJSYBLMJOCNMCF-UHFFFAOYSA-N,CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)nn3)c(F)c2)C(=O)O1,0.8,3
CJTLKLBSIFQKNT-UHFFFAOYSA-N,Cc1c(C2=CCN(C(=O)N(C)C(C)C)CC2)nnn1-c1cccnc1F,2.1,1
CJXUHPRULWSPBE-UHFFFAOYSA-N,Nc1ncc(NC(=O)c2cc(NC(=O)c3cccc(C(F)(F)F)c3)ccc2Cl)cc1Cl,3.26,7
CJXVAOIYYFPZDN-UHFFFAOYSA-N,O=C(COc1ccc(OCCNCC(O)COc2ccccc2)cc1)NCCO,0.42,4
CJYMQDSGVRJJGX-UHFFFAOYSA-N,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(C)cc(C)cc3C)C(=O)O)cc2)n1,0.52,7
CKCUWHAMJDWXOH-UHFFFAOYSA-N,OC(CN1CCOCC1)c1ccccc1,1,6
CKDWXXGKUKOVBA-UHFFFAOYSA-N,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ncccc34)sc21,1.71,2
CKGNHSVKAWCUKU-UHFFFAOYSA-N,CCCSc1ncccc1C(=O)N(C)C1CCCCC1,3.38,10
CKJLMDNPUIQPTG-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)nc1)c1ccc(F)c(Cl)c1,3.64,8
CKMRXGUDSNAKMN-UHFFFAOYSA-N,COc1cc(F)ccc1-c1cncc(CNC2CCCC2)c1,2.29,4
CKRWGBKIBACFNV-UHFFFAOYSA-N,Cc1cc2c(cc1CN(C)C)CCN(C(=O)c1cc3cc(Cl)ccc3n1C)C2,2,6
CKVMWRXMHJHOBH-UHFFFAOYSA-N,N#Cc1nc(N2CCOCC2)nc(N2CCOCC2)n1,1.51,7
CKXJLNSNPZFRGR-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.06,4
CKXYPCLKXJSDDX-UHFFFAOYSA-N,N#Cc1ccc(F)c(Nc2nccc(-c3cnn4ncccc34)n2)c1,3.1,1
CKZUUPZMLCZYML-UHFFFAOYSA-N,COc1cccc(-c2cc3c(N[C@H]4CCCNC4)ncc(C(N)=O)c3s2)c1,1.82,10
CLGKLVDMXPDQPS-UHFFFAOYSA-N,Oc1ncnc2onc(-c3ccc(F)cc3)c12,1.97,8
CLQMFOOMFPNKNA-UHFFFAOYSA-N,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)n1c(=O)[nH]c2ccccc21,4.46,10
CLQOYHWDHWDLPD-UHFFFAOYSA-N,CCc1ccc(CCCCN(C)C)cc1,1.8,6
CMBDQWHWALXRNJ-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCSCC2)cc1,1.29,8
CMCWSTGGSPSOCO-UHFFFAOYSA-N,C[C@H](NC(=O)c1cccc2c1N(Cc1ccc(Cl)cc1)CC2)c1ccc(C(=O)O)cc1,1.47,6
CMGUAOOJGFBGME-UHFFFAOYSA-N,CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O,-0.29,4
CMHKURIYUXPNNR-UHFFFAOYSA-N,CC(C)(O)C#Cc1ccc2c(c1)-c1nc(C(N)=O)cn1CCO2,1.4,8
CMIGRYJMWNTUCY-UHFFFAOYSA-N,COc1cccc(-n2cc3nc(C)n(C[C@H]4CCCN(C[C@H]5CCCO5)C4)c(=O)c3n2)c1,1.9,4
CMIWTYQTYONIPX-UHFFFAOYSA-N,COc1cnc2c(C(=O)NCC(F)F)cn(Cc3ncnc(OC)c3C)c2c1,2.8,9
CMLJYPLKIKPWDF-UHFFFAOYSA-N,CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,2.23,1
CMLXXBAEHGHZRO-UHFFFAOYSA-N,Cn1cc(-c2cc(F)cc(N3CCn4c(cc5c4CCCC5)C3=O)c2CO)cc(Nc2ccc(N3CCN(C4COC4)CC3)cn2)c1=O,3.1,6
CMMDBUCMEFMFHW-UHFFFAOYSA-N,Cc1nn(-c2cccc(Cl)n2)cc1CN1CCC2(CC1)OCc1ccccc12,3.9,1
CMWRPDHVGMHLSZ-UHFFFAOYSA-N,Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)cn1,3.6,10
CNBGNNVCVSKAQZ-UHFFFAOYSA-N,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,2.4,3
CNBSPUGFNQVSJS-UHFFFAOYSA-N,Nc1nc(CCc2ccccc2)cc(=O)[nH]1,1.4,2
CNDVAMMAAGJGKC-UHFFFAOYSA-N,CCOP(=O)(OCC)C(N(OC(C)c1ncc[nH]1)C(C)(C)C)C(C)(C)C,3.85,8
CNGVHZAORFMGBW-UHFFFAOYSA-N,CN(C)C(=O)Cc1ccc(Br)cc1,1.83,8
CNMBRSATMDIDOG-UHFFFAOYSA-N,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1,-0.43,1
CNMKJYVZCCEGHW-UHFFFAOYSA-N,Cc1c(S(=O)(=O)c2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,-0.83,2
CNNIPRDMDODXLC-UHFFFAOYSA-N,COc1c(C#N)cc2ccccc2c1C(=O)N(C)C[C@@H](CCN1CCC(N2CCCNC2=O)CC1)c1ccc(Cl)c(Cl)c1,3,1
CNPVJJQCETWNEU-UHFFFAOYSA-N,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,2.7,2
CNRRLGBENJFDLP-UHFFFAOYSA-N,O=C(O)CCNC(=O)c1ccc(C(Oc2ccc(-n3cc(C(F)(F)F)cn3)cc2)C2CCC2)cc1,2.6,3
CNSXYUZUUPJMQL-UHFFFAOYSA-N,Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)n2)n1C(C)C,1.96,7
CNVFWXWIFWDWPC-UHFFFAOYSA-N,Cc1ccc(Cl)cc1-n1cc(COc2ccc(OCC(=O)O)c(F)c2)nn1,1.95,10
CNXASKVINSMOTB-UHFFFAOYSA-N,C=CC(=O)Nc1ccc(C)cc1,2.25,7
CNYAJGPNURAWNB-UHFFFAOYSA-N,O=C(c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1)N1CCCC1,2.75,4
COBNLIJYZJNVGX-UHFFFAOYSA-N,CCOC(=O)N1C(O)CC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1O,2.3,9
CODRSYHZEISSJM-UHFFFAOYSA-N,CC(=O)NC[C@H]1CN(c2ccc(N3Cc4cccnc4C3)c(F)c2)C(=O)O1,2.88,10
COERWXRCVDFLFJ-UHFFFAOYSA-N,C[C@H]1O[C@@H](n2cnc3c(N)nc(Oc4ccccc4)nc32)[C@H](O)[C@@H]1O,1.05,7
COHWEVSELQDEED-UHFFFAOYSA-N,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2ccccc2)c2ccc(S(C)(=O)=O)cc2)CC1,1.555,7
COQNFUICOUPODA-UHFFFAOYSA-N,CCC[C@H](CO)Nc1nc(S[C@@H](C)c2cccc(C#N)c2)nc2[nH]c(=O)sc12,3.7,7
CORFNGYLXZFTMD-UHFFFAOYSA-N,O=c1cc(-c2cccc3c2Sc2ccccc2C3)oc(N2CCOCC2)c1,3.6,9
CORMWJFTMXSPFO-UHFFFAOYSA-N,Cc1ccc(Oc2ccc(OCC(=O)Nc3ccncc3)cc2)cc1,4.3,4
COTIEJKCWSNEFH-UHFFFAOYSA-N,Cc1noc(C)c1S(=O)(=O)Nc1c(N2CCC(CCc3ccccc3)CC2)c(=O)c1=O,0,10
COUYJEVMBVSIHV-UHFFFAOYSA-N,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,0.79,3
COWNEZLXLGOWIV-UHFFFAOYSA-N,O=C(NCc1ccccc1Cl)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,0.37,5
COYPNKZCINCUIP-UHFFFAOYSA-N,CCN(C)C(=O)c1cc(C(C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,2.5,4
COZCJUWJQAPZFH-UHFFFAOYSA-N,N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3ccccc3)CC2)CC1,1.99,1
CPBLOMTVTOMHRT-UHFFFAOYSA-N,CNC(=O)CN1CCC(n2nc(C)c(Nc3ncc(Cl)c(-c4cnn5ccccc45)n3)c2C)CC1,3.2,4
CPGZFHDAEOPUMA-UHFFFAOYSA-N,COc1ccc2c(c1)C[C@@H](C)N(CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)O)cc1,2.3,5
CPJSUEIXXCENMM-UHFFFAOYSA-N,CCOc1ccc(NC(C)=O)cc1,1.5,9
CPPCFBQZCSSDSL-UHFFFAOYSA-N,NC1(c2ccc(-c3c(-c4ccccc4)ncc4nccn34)cc2)CCC1,1.7,5
CPPVQJPXBMAERF-UHFFFAOYSA-N,O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(OC(F)(F)F)cc3)c(=O)oc3ccccc23)cc1,2.8,2
CPRAGQJXBLMUEL-UHFFFAOYSA-N,Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1,3.6,10
CPWNPAJUGFNFQV-UHFFFAOYSA-N,O=[N+]([O-])c1nccn1CC(O)CN1CCC1,-1.51,1
CPXGGWXJNQSFEP-UHFFFAOYSA-N,NC1=NN(c2cccc(C(F)(F)F)c2)CC1,2.55,7
CPZULIGVBXZLGC-UHFFFAOYSA-N,O=C1c2ccccc2-n2c1nc1ccc(Br)cc1c2=O,1.69,4
CQBDMXYZNLJUFT-UHFFFAOYSA-N,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccccc1,4.17,8
CQLJUEWREOSTCY-UHFFFAOYSA-N,OC1CN(CCCCc2ccccc2)CCc2ccccc21,2.7,9
CQMFOVQUSIYPNP-UHFFFAOYSA-N,CN(C)C(=O)N1CCC(C(=O)NCc2cccs2)CC1,1.1,7
CQRZBEVGLZUXHH-UHFFFAOYSA-N,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCNCCc3cccc(Cl)c3)c2s1,-0.03,6
CQSIEALSZIRMDT-UHFFFAOYSA-N,c1cc2c(cc1CN1CCCCC1)OCO2,0.9,8
CQTGQYVQJOJQCM-UHFFFAOYSA-N,Clc1cccc2[nH]ncc12,2.5,10
CQVZMWKLFBXYDF-UHFFFAOYSA-N,COCCOc1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)cc1,2.34,3
CQZXZGBXPBCKAA-UHFFFAOYSA-N,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(=O)(=O)NCc2ccccc2)c1=O)C(=O)C(F)(F)F,2.57,7
CRCUNMKTEAUDDB-UHFFFAOYSA-N,CCOc1ccc(-n2c([C@@H](C)N(CC3CCN(C)CC3)C(=O)Cc3ccc(F)c(C(F)(F)F)c3)nc3ncccc3c2=O)cc1,1.4,7
CRKQPQAQTCSFTN-UHFFFAOYSA-N,CCc1cccc2c(C#N)cn(CC(=O)NCCOC)c12,1.95,6
CRPSLFMUGWFWGH-UHFFFAOYSA-N,CCNC(=O)c1ccc(CN2CCC(c3ccc(C(=O)Nc4ccccc4N)cc3)CC2)cc1,2.24,9
CRSRQGVEEUYTNA-UHFFFAOYSA-N,Cc1ccc(Cl)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1,2.6,7
CRSSICJASSNZAD-UHFFFAOYSA-N,CC(C)N1CCc2nc(C(=O)Nc3cc(C(=O)O)ccc3CCC(=O)Nc3ccc(Br)cc3)sc2C1,1.08,2
CRYOUEVORXBVRJ-UHFFFAOYSA-N,Fc1cc(COc2cc(OC[C@@H]3CCCN3)cnc2Cl)ccn1,1.4,2
CRZGCEYTNMJWPK-UHFFFAOYSA-N,O=C(O)c1ccccc1Cn1nnc(-c2cccc(OCc3ccc4ccccc4n3)c2)n1,2.1,2
CSJGQSBCSQFHSP-UHFFFAOYSA-N,CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)NS(=O)(=O)c3ccc(Cl)s3)CC2C)nc1C,1.6,1
CSMKIERRRDWWIF-UHFFFAOYSA-N,Cc1noc(C)c1S(=O)(=O)Nc1c(N2CCC(N(C)Cc3ccc(Cl)cc3)CC2)c(=O)c1=O,0.5,6
CSNYIKOIPYUMPR-UHFFFAOYSA-N,O=C1[C@H]2[C@H]3CC[C@H](C3)[C@H]2C(=O)N1[C@H]1CC[C@H](C(=O)Nc2cccc3cccnc23)CC1,3.94,2
CSSKAGWIWQOQME-UHFFFAOYSA-N,O=C(O)c1cccc(C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,1.23,10
CSWKLSOQRWIBCT-UHFFFAOYSA-N,CN(C)CCCOc1ccc(-c2ccc3nnc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,0.8,7
CSZHSDQORHZWBJ-UHFFFAOYSA-N,COc1ccc(N2C(=O)C(C)(C)C2c2ccccc2)cc1,3.7,7
CTEITUDGLRIHMG-UHFFFAOYSA-N,C[C@H](c1nc2ncccc2c(=O)n1-c1ccc(Cl)cc1)N(CC1CCS(=O)(=O)CC1)C(=O)Cc1ccc(C(F)(F)F)c(F)c1,2.9,5
CTGXRGQIIKAIKX-UHFFFAOYSA-N,O=S(=O)(Nc1ncns1)c1cc(F)c(Oc2ccc(Cl)cc2-c2ccnn2C2CNC2)cc1F,1,2
CTHUKURTASAUTM-UHFFFAOYSA-N,CCCCC(O)c1[nH]c2cc(C)c(C(=O)O)cc2c1CCc1ccccc1,2.59,2
CTIACGJEVAASBD-UHFFFAOYSA-N,CN(C)CCCCc1ccc(C2(C)COC2)cc1,0.8,10
CTLHMCWJWNUSJJ-UHFFFAOYSA-N,CC(C)C[C@H](CO)Nc1nc(SCc2ccncc2)nc2nc(N)sc12,2.9,7
CTNODSDKBPJKAA-UHFFFAOYSA-N,Cc1ncc(-c2c(C)c(CN[C@H]3CC[C@@H](F)C3)nn2-c2ncccc2Cl)cc1F,1.8,8
CTNPALGJUAXMMC-UHFFFAOYSA-N,Cc1[nH]c(/C=C2\\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,2.22,9
CTQOZEIGTIPVLX-UHFFFAOYSA-N,COC[C@H](C)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2C[C@H]1C,1.6,2
CTRKOYLEBIFWAO-UHFFFAOYSA-N,Cc1nn(C)cc1NC(=O)[C@@H]1CCCC[C@H]1C(=O)c1ccc(-c2cc[nH]n2)cc1F,2.9,2
CTRLABGOLIVAIY-UHFFFAOYSA-N,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,1.28,4
CTSTYLUKIWTZGW-UHFFFAOYSA-N,Cc1cc(=O)[nH]c2sc(C(=O)c3ccc(Br)cc3)c(N)c12,2.57,3
CTSVTSJXHVVWIT-UHFFFAOYSA-N,CC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1,2.3,10
CTUOWUBSEUXLDY-UHFFFAOYSA-N,Cc1nc2cnc(Nc3ccnc(/C=C/C(C)(C)C(N)=O)n3)cc2n1C(C)C,2.2,1
CUBGOGRTKCMGGK-UHFFFAOYSA-N,Cc1ccc2c(c1)c(-c1ccnc3c(S(C)(=O)=O)cccc13)c(C)n2CC(=O)O,-0.34,6
CUFNPWIVKPZKPX-UHFFFAOYSA-N,CCNC(=O)c1cc2c(-n3nc(C(F)(F)F)cc3C)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,-0.88,6
CUHVIMMYOGQXCV-UHFFFAOYSA-N,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,2.79,7
CUIDNQSCWXAPRS-UHFFFAOYSA-N,O=C(O)c1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,2.31,5
CUIHSIWYWATEQL-UHFFFAOYSA-N,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,3.3,4
CUKPPLWSFFQCKN-UHFFFAOYSA-N,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(c4ccc(C#N)cn4)CC3)c(F)c2)C(=O)O1,1.98,3
CUMXSLBXLLYSHN-UHFFFAOYSA-N,COc1cccc2c(-c3c(C)n(CC(=O)O)c4ccc(C)cc34)ccnc12,0.49,1
CURUTKGFNZGFSE-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,3.72,6
CUWHKXADIYQZNO-UHFFFAOYSA-N,CN1CC[C@@](O)(C#Cc2ccnc(-n3nc(C(N)=O)cc3N)c2)C1=O,2,2
CVCVOSPZEVINRM-UHFFFAOYSA-N,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,1.7,10
CVFJZQMCHKSCEI-UHFFFAOYSA-N,COC(=O)N1CCOc2cc(COc3ccccc3)cnc21,2.5,5
CVKZSLHLOFQJOZ-UHFFFAOYSA-N,OC[C@H]1O[C@H](Oc2ccc(-n3ccc4c(OCc5ccccc5)cccc43)cc2Cl)[C@@H](O)[C@@H](O)[C@@H]1O,2.7,3
CVNIKERQUWLOLF-UHFFFAOYSA-N,CN1CCC(Nc2ccc3ncc(-c4cnn(-c5ncccn5)c4)n3n2)CC1,3,1
CVQPQNFDTNLHAE-UHFFFAOYSA-N,CNS(=O)(=O)c1ccc(-c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)cc1,0.7,5
CVQXOFORJWCSME-UHFFFAOYSA-N,COc1ccc2ncc(=O)n(C[C@H](N)[C@H]3CC[C@H](NCc4ncc5c(n4)NC(=O)CO5)CC3)c2c1,-0.48,5
